Dist Code,Year,State Code,State Name,Dist Name,Crop,Area_ha,Yield_kg_per_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Total_N_kg,Total_P_kg,Total_K_kg,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day
1,2005,14,Chhattisgarh,Durg,maize,3260.0,1186.04,32.02308,14.23248,20.16268,104395.2408,46397.8848,65730.33679999999,22.0,70.0,6.0,800.0,2.5,20.0
1,2005,14,Chhattisgarh,Durg,chickpea,163220.0,501.01,9.01818,5.0101,9.01818,1471947.3395999998,817748.5219999999,1471947.3395999998,20.0,60.0,6.5,600.0,1.5,16.0
1,2006,14,Chhattisgarh,Durg,rice,781700.0,1505.81,37.64525,18.06972,33.12782,29427291.925,14125100.123999998,25896016.894,25.0,80.0,6.5,1200.0,2.0,18.0
1,2006,14,Chhattisgarh,Durg,maize,5280.0,953.14,25.73478,11.43768,16.20338,135879.6384,60390.9504,85553.8464,22.0,70.0,6.0,800.0,2.5,20.0
1,2006,14,Chhattisgarh,Durg,chickpea,170600.0,723.74,13.02732,7.237400000000001,13.02732,2222460.7920000004,1234700.4400000002,2222460.7920000004,20.0,60.0,6.5,600.0,1.5,16.0
1,2006,14,Chhattisgarh,Durg,cotton,190.0,263.16,7.10532,3.15792,7.10532,1350.0108,600.0047999999999,1350.0108,28.0,65.0,6.0,700.0,3.0,22.0
1,2007,14,Chhattisgarh,Durg,rice,799890.0,1369.98,34.2495,16.43976,30.13956,27395832.555,13149999.6264,24108332.6484,25.0,80.0,6.5,1200.0,2.0,18.0
1,2007,14,Chhattisgarh,Durg,maize,3300.0,1157.23,31.24521,13.88676,19.67291,103109.193,45826.308,64920.603,22.0,70.0,6.0,800.0,2.5,20.0
1,2007,14,Chhattisgarh,Durg,chickpea,143200.0,909.8,16.3764,9.098,16.3764,2345100.48,1302833.6,2345100.48,20.0,60.0,6.5,600.0,1.5,16.0
1,2007,14,Chhattisgarh,Durg,cotton,40.0,250.0,6.75,3.0,6.75,270.0,120.0,270.0,28.0,65.0,6.0,700.0,3.0,22.0
1,2008,14,Chhattisgarh,Durg,rice,803370.0,876.42,21.9105,10.51704,19.28124,17602238.384999998,8449074.4248,15489969.7788,25.0,80.0,6.5,1200.0,2.0,18.0
1,2008,14,Chhattisgarh,Durg,maize,3400.0,984.92,26.59284,11.81904,16.74364,90415.656,40184.736,56928.376,22.0,70.0,6.0,800.0,2.5,20.0
1,2008,14,Chhattisgarh,Durg,chickpea,131940.0,856.71,15.42078,8.5671,15.42078,2034617.7132,1130343.174,2034617.7132,20.0,60.0,6.5,600.0,1.5,16.0
1,2008,14,Chhattisgarh,Durg,cotton,10.0,1000.0,27.0,12.0,27.0,270.0,120.0,270.0,28.0,65.0,6.0,700.0,3.0,22.0
1,2009,14,Chhattisgarh,Durg,rice,789040.0,788.37,19.70925,9.46044,17.34414,15551386.62,7464665.5776,13685220.2256,25.0,80.0,6.5,1200.0,2.0,18.0
1,2009,14,Chhattisgarh,Durg,maize,3250.0,1045.97,28.241190000000003,12.55164,17.78149,91783.8675,40792.83,57789.842500000006,22.0,70.0,6.0,800.0,2.5,20.0
1,2009,14,Chhattisgarh,Durg,chickpea,147220.0,883.44,15.90192,8.8344,15.90192,2341080.6624000003,1300600.368,2341080.6624000003,20.0,60.0,6.5,600.0,1.5,16.0
1,2010,14,Chhattisgarh,Durg,rice,777920.0,1695.77,42.39425,20.34924,37.30694,32979334.96,15830080.780800002,29021814.7648,25.0,80.0,6.5,1200.0,2.0,18.0
1,2010,14,Chhattisgarh,Durg,maize,3170.0,1457.32,39.34764,17.48784,24.77444,124732.0188,55436.45279999999,78534.9748,22.0,70.0,6.0,800.0,2.5,20.0
1,2010,14,Chhattisgarh,Durg,chickpea,184260.0,948.89,17.08002,9.4889,17.08002,3147164.4852,1748424.7140000002,3147164.4852,20.0,60.0,6.5,600.0,1.5,16.0
1,2011,14,Chhattisgarh,Durg,rice,806550.0,1756.23,43.90575,21.07476,38.63706,35412182.6625,16997847.678,31162720.743,25.0,80.0,6.5,1200.0,2.0,18.0
1,2011,14,Chhattisgarh,Durg,maize,3630.0,1285.56,34.71012,15.42672,21.85452,125997.7356,55998.9936,79331.9076,22.0,70.0,6.0,800.0,2.5,20.0
1,2011,14,Chhattisgarh,Durg,chickpea,196270.0,1008.49,18.15282,10.0849,18.15282,3562853.9814000004,1979363.3230000003,3562853.9814000004,20.0,60.0,6.5,600.0,1.5,16.0
1,2011,14,Chhattisgarh,Durg,cotton,80.0,250.0,6.75,3.0,6.75,540.0,240.0,540.0,28.0,65.0,6.0,700.0,3.0,22.0
1,2012,14,Chhattisgarh,Durg,rice,807070.0,1900.97,47.52425,22.81164,41.82134,38355396.447500005,18410590.2948,33752748.8738,25.0,80.0,6.5,1200.0,2.0,18.0
1,2012,14,Chhattisgarh,Durg,maize,3120.0,1538.56,41.54112,18.46272,26.15552,129608.2944,57603.68639999999,81605.2224,22.0,70.0,6.0,800.0,2.5,20.0
1,2012,14,Chhattisgarh,Durg,chickpea,208600.0,1130.97,20.35746,11.3097,20.35746,4246566.156,2359203.42,4246566.156,20.0,60.0,6.5,600.0,1.5,16.0
1,2012,14,Chhattisgarh,Durg,cotton,130.0,153.85,4.15395,1.8462,4.15395,540.0135,240.006,540.0135,28.0,65.0,6.0,700.0,3.0,22.0
1,2013,14,Chhattisgarh,Durg,rice,819440.0,1581.86,39.5465,18.98232,34.80092,32405983.96,15554872.300799998,28517265.8848,25.0,80.0,6.5,1200.0,2.0,18.0
1,2013,14,Chhattisgarh,Durg,maize,3640.0,1742.2,47.0394,20.9064,29.6174,171223.416,76099.29599999999,107807.336,22.0,70.0,6.0,800.0,2.5,20.0
1,2013,14,Chhattisgarh,Durg,chickpea,229990.0,756.19,13.61142,7.5619,13.61142,3130490.4858000004,1739161.381,3130490.4858000004,20.0,60.0,6.5,600.0,1.5,16.0
1,2013,14,Chhattisgarh,Durg,cotton,50.0,200.0,5.4,2.4000000000000004,5.4,270.0,120.0,270.0,28.0,65.0,6.0,700.0,3.0,22.0
